,short_desc,interval,long_desc,category_dict,analysis_group_1
YEAR,Survey year,contin,YEAR reports the year in which the survey was conducted.  YEARP is repeated on person records.,{},0
SERIAL,Household serial number,contin,"SERIAL is an identifying number unique to each household in a given survey month and year.  All person records are assigned the same serial number as the household record they follow.  A combination of YEAR, MONTH, and SERIAL provides a within-sample unique identifier for every household in IPUMS-CPS; YEAR, MONTH, SERIAL, and PERNUM uniquely identify every person within a single sample.

SERIAL is a new value generated for IPUMS-CPS and should not be confused with the household serial number created by the Census Bureau and included in the original CPS data.",{},0
MONTH,Month,discrete,MONTH indicates the calendar month of the CPS interview.,"{1: 'January', 2: 'February', 3: 'March', 4: 'April', 5: 'May', 6: 'June', 7: 'July', 8: 'August', 9: 'September', 10: 'October', 11: 'November', 12: 'December'}",0
CPSID,"CPSID, household record",contin,"CPSID is an IPUMS-CPS defined variable that uniquely identifies households across CPS samples. The first six digits of CPSID index the four-digit year and two-digit month that the household was first in the CPS. CPSID allows users to link a household record across samples, based on the 4-8-4 rotation pattern, by assigning a unique CPSID value based on a combination of household identifiers. CPSID will only ever appear for a maximum of 8 times, which is the number of times a household may be observed in the CPS survey (as indexed by MISH). In some cases, a household will appear fewer than 8 times due to migration, mortality, non-response, and recording errors. CPSID Extensive documentation about the creation of CPSID is available elsewhere.

CPSID may also be used to link ASEC respondents who are in the March Basic Monthly file to other months of CPS data. This linking is made possible by IPUMS through the creation of MARBASECIDP. Users should note that ASEC oversample households (as indicated by ASECOVERH) will always have a CPSID value of 0.

Users may also want to see CPSIDP for more information about linking individuals across time using a person-specific version of CPSID.",{},0
ASECFLAG,Flag for ASEC,discrete,ASECFLAG indicates whether the respondent is part of the ASEC or the March Basic. This variable is useful for users who wish to distinguish ASEC and March Basic files in their extracts. See further information about the ASEC versus the March Basic Monthly Files.,"{1: 'ASEC', 2: 'March Basic'}",0
ASECWTH,Annual Social and Economic Supplement Household weight,contin,"ASECWTH is a household-level weight that should be used to generate statistics about households in March Annual Social and Economic (ASEC) Supplement data. The CPS uses a complex stratified sampling scheme, and ASECWTH must be used to produce unbiased household-level statistics from the IPUMS-CPS ASEC data. For analyses of non-ASEC data, researchers should use HWTFINL. For individual-level analyses, researchers should use WTFINL, ASECWT, or EARNWT. 

ASECWTH generally has the same value as WTSUPP for the household head or reference person. Vacant housing units and households that could not be interviewed due to residents' absence or refusal to participate have a value of zero in HWTSUPP; such sampled units were included in the public use CPS data beginning in 1988. 

Estimates on the entire population are prepared by projecting forward the resident population from the last available census. These projections are derived by updating the demographic census data from a number of other data sources that account for death, births and net migration. About 3 years after every census (i.e. 2003 for the 2000 Census and 2013 for the 2010 Census), the Census Bureau updates its independent population control and provides a new weight for the relevant years.

Two important points should be noted here. First, the lag between when the Census is conducted and when the CPS weights are updated is about 3 years. While the Census data are being processed, the CPS files are made available using the weighting scheme from the US Census prior to the latest Census. Second, once the files are updated, the old weights become obsolete and are replaced in the IPUMS data extract system. Published estimates from the lag years that use the old weights are not always updated. For example, 2010 poverty estimates were released in ASEC using the 2000 population controls. Once the 2010 population controls were made available, IPUMS-CPS replaced the ASEC 2010, 2011, and 2012 weights that are based on the 2000 population control with weights that are based on the 2010 population controls.

IPUMS-CPS makes available only the most up-to-date weights. The old values are available here: Old SPM and Weights Values.",{},0
HHINTYPE,Type of household,discrete,"HHINTYPE is a household-level variable indicating whether members of the household were interviewed and, if not, why no interview took place.  Type A nonresponse households represent housing units suitable for inclusion in the survey whose residents were not interviewed for reasons such as refusal to participate and temporary absence.  Type B nonresponse households were vacant or were occupied by persons ineligible for interview (e.g., institutionalized persons).  Type C nonresponse households were housing units that were demolished, converted to storage or business use, or included in the sample by mistake.

Sampling for the CPS is based on housing units (addresses) rather than persons.  For this reason, interviewers necessarily initially visit some unoccupied or uninhabitable dwellings.  Participation in the survey is voluntary, rather than required by law, and institutionalized persons are intentionally excluded.","{1: 'Interview', 2: 'Type A non-interview', 3: 'Type B/C non-interview'}",0
REGION,Region and division,discrete,"REGION identifies the region and division where the housing unit was located. Unless otherwise noted in the comparability discussion, states are recoded into the following 1990 regional and divisional classification system: 

1. Northeast Region
New England Division: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont

Middle Atlantic Division: New Jersey, New York, Pennsylvania
2. Midwest (formerly North Central) Region
East North Central Division: Illinois, Indiana, Michigan, Ohio, Wisconsin

West North Central Division: Iowa, Kansas, Minnesota, Missouri, Nebraska, North Dakota, South Dakota
3. South Region
South Atlantic Division: Delaware, District of Columbia, Florida, Georgia, Maryland, North Carolina, South Carolina, Virginia, West Virginia

East South Central Division: Alabama, Kentucky, Mississippi, Tennessee

West South Central Division: Arkansas, Louisiana , Oklahoma, Texas
4. West Region
Mountain Division: Arizona, Colorado, Idaho, Montana, Nevada, New Mexico, Utah, Wyoming

Pacific Division: Alaska, California, Hawaii, Oregon, Washington
","{11: 'New England Division', 12: 'Middle Atlantic Division', 21: 'East North Central Division', 22: 'West North Central Division', 31: 'South Atlantic Division', 32: 'East South Central Division', 33: 'West South Central Division', 41: 'Mountain Division', 42: 'Pacific Division', 97: 'State not identified'}",1
STATEFIP,State (FIPS code),discrete,"STATEFIP identifies the household's state of residence, using the Federal Information Processing Standards (FIPS) coding scheme, which orders the states alphabetically.

In 1973-1975 ASEC samples, all households in the Anaheim-Santa Ana-Garden Grove, CA METAREA are coded as Michigan-Wisconsin for STATEFIP in the original data. As there is insufficient geographic information in the public use data to determine which variable is in error, this mistake has been left un-recoded.","{1: 'Alabama', 2: 'Alaska', 4: 'Arizona', 5: 'Arkansas', 6: 'California', 8: 'Colorado', 9: 'Connecticut', 10: 'Delaware', 11: 'District of Columbia', 12: 'Florida', 13: 'Georgia', 15: 'Hawaii', 16: 'Idaho', 17: 'Illinois', 18: 'Indiana', 19: 'Iowa', 20: 'Kansas', 21: 'Kentucky', 22: 'Louisiana', 23: 'Maine', 24: 'Maryland', 25: 'Massachusetts', 26: 'Michigan', 27: 'Minnesota', 28: 'Mississippi', 29: 'Missouri', 30: 'Montana', 31: 'Nebraska', 32: 'Nevada', 33: 'New Hampshire', 34: 'New Jersey', 35: 'New Mexico', 36: 'New York', 37: 'North Carolina', 38: 'North Dakota', 39: 'Ohio', 40: 'Oklahoma', 41: 'Oregon', 42: 'Pennsylvania', 44: 'Rhode Island', 45: 'South Carolina', 46: 'South Dakota', 47: 'Tennessee', 48: 'Texas', 49: 'Utah', 50: 'Vermont', 51: 'Virginia', 53: 'Washington', 54: 'West Virginia', 55: 'Wisconsin', 56: 'Wyoming', 61: 'Maine-New Hampshire-Vermont', 65: 'Montana-Idaho-Wyoming', 68: 'Alaska-Hawaii', 69: 'Nebraska-North Dakota-South Dakota', 70: 'Maine-Massachusetts-New Hampshire-Rhode Island-Vermont', 71: 'Michigan-Wisconsin', 72: 'Minnesota-Iowa', 73: 'Nebraska-North Dakota-South Dakota-Kansas', 74: 'Delaware-Virginia', 75: 'North Carolina-South Carolina', 76: 'Alabama-Mississippi', 77: 'Arkansas-Oklahoma', 78: 'Arizona-New Mexico-Colorado', 79: 'Idaho-Wyoming-Utah-Montana-Nevada', 80: 'Alaska-Washington-Hawaii', 81: 'New Hampshire-Maine-Vermont-Rhode Island', 83: 'South Carolina-Georgia', 84: 'Kentucky-Tennessee', 85: 'Arkansas-Louisiana-Oklahoma', 87: 'Iowa-N Dakota-S Dakota-Nebraska-Kansas-Minnesota-Missouri', 88: 'Washington-Oregon-Alaska-Hawaii', 89: 'Montana-Wyoming-Colorado-New Mexico-Utah-Nevada-Arizona', 90: 'Delaware-Maryland-Virginia-West Virginia', 99: 'State not identified'}",0
METRO,Metropolitan central city status,discrete,"METRO indicates whether a household was located in a metropolitan area.  For households within metropolitan areas, METRO specifies whether the housing unit was inside or outside the central city of the metropolitan area.  Information on metropolitan status was added by the Census Bureau, rather than being directly collected from respondents.","{0: 'Not identifiable', 1: 'Not in metro area', 2: 'Central city', 3: 'Outside central city', 4: 'Central city status unknown', 9: 'Missing/Unknown'}",1
